                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1012,                0.42177,                 1.0507,                0.99843,                0.99951,                  0.995,                0.81402,                0.77983,                0.34107,                0.88759,             5.9577e-05,             5.9577e-05,             5.9577e-05
                      2,                 1.1129,                0.44181,                 1.0609,                0.99885,                0.99965,                  0.995,                0.80101,                 0.8235,                0.35301,                0.89873,             0.00010744,             0.00010744,             0.00010744
                      3,                 1.0916,                0.44749,                 1.0529,                 0.9979,                0.99899,                0.99496,                  0.829,                0.70973,                0.33769,                0.87598,             0.00014349,             0.00014349,             0.00014349
                      4,                 1.0722,                 0.4413,                  1.046,                0.99812,                0.99955,                  0.995,                0.81135,                0.78311,                0.34077,                0.89327,             0.00012584,             0.00012584,             0.00012584
                      5,                 1.0647,                0.43331,                 1.0423,                0.99871,                 0.9995,                  0.995,                0.80163,                0.82435,                0.34402,                0.89698,             0.00012584,             0.00012584,             0.00012584
                      6,                 1.0512,                0.42161,                 1.0368,                0.99906,                0.99954,                  0.995,                0.79904,                0.84575,                0.33995,                0.89999,             0.00010812,             0.00010812,             0.00010812
                      7,                  1.038,                0.40723,                 1.0311,                0.99897,                0.99963,                  0.995,                0.81205,                0.79096,                0.32103,                 0.8868,             9.0395e-05,             9.0395e-05,             9.0395e-05
                      8,                 1.0283,                0.39721,                 1.0247,                0.99897,                0.99966,                  0.995,                0.81609,                 0.7713,                0.31633,                0.88497,             7.2674e-05,             7.2674e-05,             7.2674e-05
                      9,                 1.0146,                0.38509,                 1.0191,                0.99908,                0.99982,                0.99499,                0.79777,                0.85348,                0.32763,                0.90054,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     10,                0.99981,                0.37589,                 1.0128,                0.99913,                0.99995,                0.99499,                0.80362,                0.81949,                0.31977,                0.88813,             3.7232e-05,             3.7232e-05,             3.7232e-05
